epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.84676,1.05841,3.24841,1.44784,0.00501,0.58333,0.09892,0.08696,1.32343,3.64976,1.3576,0,0,0
2,3.73713,0.91096,3.18873,1.34854,0.00502,0.58333,0.10123,0.08851,1.31673,3.64657,1.36446,9.5743e-06,9.5743e-06,9.5743e-06
3,5.51718,0.80341,2.97471,1.32721,0.00498,0.58333,0.10687,0.09233,1.32479,3.64291,1.37058,9.7172e-06,9.7172e-06,9.7172e-06
