epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.4514,0.94635,3.05587,1.39171,0.00497,0.58333,0.23404,0.19334,1.34174,3.28115,1.36488,0,0,0
2,2.30928,1.04243,3.09854,1.41095,0.005,0.58333,0.22519,0.1935,1.34053,3.27888,1.36602,9.5743e-06,9.5743e-06,9.5743e-06
3,3.03275,1.04422,3.39843,1.19736,0.00505,0.58333,0.22019,0.19279,1.36297,3.27655,1.37309,9.7172e-06,9.7172e-06,9.7172e-06
