train_loss,epoch,step
5.737551689147949,0,49
4.89595890045166,1,99
4.672384262084961,2,149
4.556967258453369,3,199
4.454613208770752,4,249
4.357422828674316,5,299
4.1785478591918945,6,349
4.080186367034912,7,399
4.038379192352295,8,449
3.9832916259765625,9,499
3.925295829772949,10,549
3.9114131927490234,11,599
3.8727734088897705,12,649
3.825998544692993,13,699
3.827303886413574,14,749
3.7794923782348633,15,799
3.801619291305542,16,849
3.863220453262329,17,899
3.7782821655273438,18,949
3.6766138076782227,19,999
3.656247854232788,20,1049
3.7251477241516113,21,1099
3.6373825073242188,22,1149
3.5877480506896973,23,1199
3.6392743587493896,24,1249
3.6120362281799316,25,1299
3.5581612586975098,26,1349
3.507159471511841,27,1399
3.492440700531006,28,1449
3.4747633934020996,29,1499
3.44157075881958,30,1549
3.407405376434326,31,1599
3.3971357345581055,32,1649
3.446598768234253,33,1699
3.3452494144439697,34,1749
3.4159531593322754,35,1799
3.3057971000671387,36,1849
3.3310647010803223,37,1899
3.3077967166900635,38,1949
3.310685396194458,39,1999
3.358102321624756,40,2049
3.244523525238037,41,2099
3.216540813446045,42,2149
3.1982457637786865,43,2199
3.188746690750122,44,2249
3.31315279006958,45,2299
3.2100229263305664,46,2349
3.1933646202087402,47,2399
3.2030396461486816,48,2449
3.200312852859497,49,2499
3.2094287872314453,50,2549
3.117487907409668,51,2599
3.1066272258758545,52,2649
3.130157709121704,53,2699
3.157379388809204,54,2749
3.10610294342041,55,2799
3.1598055362701416,56,2849
3.1410274505615234,57,2899
3.1195952892303467,58,2949
3.122032403945923,59,2999
3.0994863510131836,60,3049
3.088780403137207,61,3099
3.0386178493499756,62,3149
3.1226155757904053,63,3199
3.0282721519470215,64,3249
3.023470401763916,65,3299
2.9888925552368164,66,3349
3.114060878753662,67,3399
3.0640697479248047,68,3449
3.0435597896575928,69,3499
2.994070053100586,70,3549
2.960263967514038,71,3599
2.98075532913208,72,3649
3.004284381866455,73,3699
3.0022552013397217,74,3749
2.9448230266571045,75,3799
2.938765048980713,76,3849
2.9863431453704834,77,3899
2.999145269393921,78,3949
2.959512233734131,79,3999
2.9726946353912354,80,4049
2.8649539947509766,81,4099
2.912259101867676,82,4149
2.9777276515960693,83,4199
2.8807854652404785,84,4249
2.874549150466919,85,4299
2.838283061981201,86,4349
2.8283956050872803,87,4399
2.871103525161743,88,4449
2.947277545928955,89,4499
2.8945887088775635,90,4549
2.8719289302825928,91,4599
2.9105870723724365,92,4649
2.923354148864746,93,4699
2.8523693084716797,94,4749
2.8353326320648193,95,4799
2.8977789878845215,96,4849
2.803553581237793,97,4899
2.805340051651001,98,4949
2.855323076248169,99,4999
